month,price
1,40428
2,40592
3,40554
4,39812
5,39429
6,39378
7,37716
8,37323
9,36722
10,36994
11,37128
12,37294
13,37261
14,37732
15,37876
16,38231
17,38716
18,38850
19,39691
20,40168
21,40448
22,40702
23,40851
24,39437
25,39620
26,40042
27,42083
28,44387
29,44752
30,44854
31,45797
32,47135
33,50136
34,53552
35,56059
36,57597
37,58064
38,59531
39,61613
40,54704
41,53049
42,51155
43,51382
44,53921
45,58931
46,58077
47,57662
48,57768
49,57523
50,57557
51,57717
52,57839
53,57931
54,58166
55,58355
56,59376
57,59913
58,59943
59,59602
60,59868
61,60017
62,60125
63,60487
64,59993
65,59809
66,60142
67,60061
68,59888
69,59590
70,59126
71,58540
72,58568
73,58439
74,58150
75,58435
76,58605
77,58352
78,58227
79,58096
80,57951
81,57809
82,57691
83,57559
84,57561
85,57746
86,58069
87,58232
88,58441
89,58540
90,58667
91,58816
92,58940
93,59065
94,59162
95,58881
96,58740
97,58993
98,58657
99,58941
100,59076
101,59659
102,59253
103,58988
104,59368
105,59512
106,59620
107,59780
108,60347
109,60356
110,60942
111,60782
112,60485
113,60704
114,60647
115,60448
116,60310
117,59748
